name,styleUrl,styleHash,description,Number of Accidents,Accidents during Day,Accidents during Night
Thiruvananthapuram,#286,-1926c462,District,5415,3980,1435
Kollam,#280,-7276aee8,District,3129,2239,1244
Pathanamthitta,#285,-52b41623,District,1632,1293,339
Alappuzha,#275,-4ad0fc82,District,2999,2214,785
Kottayam,#281,-38e95d27,District,2684,2038,646
Idukki,#277,2849a700,District,1130,896,234
Ernakulam,#276,-1143aac1,District,6167,4544,1623
Ernakulam,#276,-1143aac1,District,6167,4544,1623
Palakkad,#284,73be981c,District,2490,1824,666
Thrissur,#287,20668d5f,District,4261,3125,1136
Wayanad,#288,59f3df20,District,713,500,213
Kozhikode,#282,a3f49a,District,3188,2396,792
Kannur,#278,61d6f8c1,District,1898,1478,420
Kasaragod,#279,-649bb57e,District,976,705,271
Malappuram,#283,3a31465b,District,2738,2090,648
